sAA	AF_post	power
0.025	0.13093488401814812	0.9999999999174428
0.025	0.12710622313283365	0.9999999999081557
0.025	0.12324521607927495	0.9999999998892767
0.025	0.11935142523172701	0.9999999999757241
0.025	0.11542440564399897	0.9999999999715007
0.025	0.11146370487901623	0.9999999999642551
0.025	0.10746886283419203	0.9999999999529782
0.025	0.10343941156246574	0.9999999999387273
0.025	0.0993748750888608	0.9999999999142093
0.025	0.09527476922241011	0.9999999999830937
0.025	0.09113860136329206	0.9999999999752259
0.025	0.08696587030501515	0.9999999999637895
0.025	0.0827560660314836	0.9999999999425319
0.025	0.07850866950877079	0.9999999999026596
0.025	0.07422315247142161	0.9999999999836675
0.025	0.06989897720309818	0.9999999999724688
0.025	0.06553559631137755	0.9999999999488763
0.025	0.06113245249650271	0.9999999998971221
0.025	0.056688978313881644	0.9999999969970319
0.025	0.05220459593012133	0.9999998964226773
0.025	0.047678716872376334	0.9999532859041849
0.025	0.043110741770783605	0.9981899318724767
0.025	0.03850006009374615	0.9388919253023014
0.025	0.033846049875820336	0.0
0.025	0.029148077437951697	0.0
0.025	0.024405497099795077	0.0
0.025	0.019617650883844588	0.0
0.025	0.014783868211088687	0.0
0.025	0.009903465587894693	0.0
0.025	0.004975746283815535	0.0
0.075	0.13193336311993364	0.9999999998692092
0.075	0.12804205284906522	0.9999999998687994
0.075	0.12412030105818489	0.9999999998674746
0.075	0.1201676767150214	0.9999999999562065
0.075	0.11618374235232268	0.999999999951992
0.075	0.11216805390408242	0.9999999999432103
0.075	0.10812016053837108	0.9999999999293474
0.075	0.10403960448663555	0.9999999999071174
0.075	0.09992592086932993	0.9999999998703047
0.075	0.09577863751773552	0.9999999999527535
0.075	0.09159727479182432	0.9999999999203492
0.075	0.0873813453940174	0.9999999999708363
0.075	0.08313035417868374	0.9999999999477492
0.075	0.07884379795722281	0.9999999998944135
0.075	0.07452116529856746	0.9999999999547649
0.075	0.07016193632494065	0.9999999998926784
0.075	0.06576558250269339	0.999999989427861
0.075	0.06133156642804653	0.9999989329679836
0.075	0.05685934160755308	0.9999762489401172
0.075	0.052348352233092144	0.9994623821915762
0.075	0.04779803295119957	0.9878378983130758
0.075	0.04320780862653349	0.9321482490443727
0.075	0.03857709409926682	0.6629956569972815
0.075	0.03390529393619135	0.3982852724573573
0.075	0.02919180217531084	0.0
0.075	0.024436002063692962	0.0
0.075	0.019637265788341574	0.0
0.075	0.014794954199842721	0.0
0.075	0.00990841652852876	0.0
0.075	0.0049769900928957654	0.0
0.125	0.13292955052598024	0.9999999998285193
0.125	0.12897587810756	0.9999999998768406
0.125	0.124993640942158	0.9999999999013766
0.125	0.12098241647268787	0.9999999998446528
0.125	0.11694177652029383	0.9999999998785993
0.125	0.11287128712871285	0.9999999999421032
0.125	0.1087705084059145	0.9999999999206663
0.125	0.10463899436289306	0.999999999873508
0.125	0.10047629274948514	0.9999999999346051
0.125	0.09628194488708254	0.999999999873895
0.125	0.0920554854981084	0.9999999999231929
0.125	0.08779644253212081	0.9999999999551681
0.125	0.08350433698840527	0.9999999998816694
0.125	0.07917868273491473	0.9999999996565022
0.125	0.07481898632341105	0.9999999815452497
0.125	0.07042474680065944	0.9999997059227742
0.125	0.06599545551552274	0.9999810922695431
0.125	0.061530595921798326	0.9996520152182504
0.125	0.057029643376636324	0.9977270027782771
0.125	0.0524920649343731	0.9850250118241161
0.125	0.047917319135609066	0.9042285228458439
0.125	0.04330485579135522	0.7500053535478044
0.125	0.038654115762066794	0.4046861039724944
0.125	0.0339645307313776	0.21419513208539465
0.125	0.029235522974342187	0.0
0.125	0.024466505119987384	0.0
0.125	0.019656879907967672	0.0
0.125	0.014806039939112892	0.0
0.125	0.00991336741964909	0.0
0.125	0.004978233898866404	1.5875995667284851e-10
0.175	0.13392345411704773	0.9999999998536416
0.175	0.12990770534146354	0.9999999998017369
0.175	0.1258652409460984	0.9999999998707492
0.175	0.12179564870049232	0.9999999998469814
0.175	0.11769851149654048	0.9999999999052963
0.175	0.11357340720221605	0.9999999998742504
0.175	0.10941990851313603	0.9999999999246624
0.175	0.10523758280185748	0.9999999998338832
