sAA	AF_post	power
0.025	0.014783868211088808	3.859719232931623e-09
0.025	0.014297937237771634	2.718632474121263e-09
0.025	0.013811539385176508	1.890613135292064e-09
0.025	0.013324673961283704	1.2968819103961645e-09
0.025	0.012837340272743438	9.122173059223315e-10
0.025	0.012349537624872535	8.402299699817237e-08
0.025	0.011861265321651158	5.99800325138369e-08
0.025	0.011372522665719476	4.218811568928029e-08
0.025	0.01088330895837436	3.031660019277433e-08
0.025	0.010393623499566053	2.065271817930314e-08
0.025	0.009903465587894816	2.3647911193644053e-06
0.025	0.009412834520607594	1.7236654344053346e-06
0.025	0.008921729593594649	1.2344844144694451e-06
0.025	0.008430150101386199	8.990018529462782e-07
0.025	0.007938095337149032	6.190278663809172e-07
0.025	0.007445564592683122	4.158661272148418e-07
0.025	0.0069525571584182376	7.116911024675161e-05
0.025	0.006459072323410514	5.256924672616092e-05
0.025	0.005965109375339066	3.788031886233698e-05
0.025	0.0054706676005025325	2.6511064254423343e-05
0.025	0.004975746283815659	1.8667225622067093e-05
0.025	0.004480344708805835	1.2149514729940765e-05
0.025	0.003984462157609648	7.51048938667783e-06
0.025	0.0034880979109694135	4.348122431436746e-06
0.025	0.002991251248229692	0.002222992779348102
0.025	0.002493921447333808	0.0015375130365147386
0.025	0.001996107784820349	0.0009782912190350436
0.025	0.0014978095358196568	0.0005451632924074566
0.025	0.000999025974050312	0.00023791828562739716
0.025	0.0004997563718156023	5.6298486956036104e-05
0.075	0.014794954199842843	8.60764225245477e-07
0.075	0.014308301446350662	6.097616915662942e-07
0.075	0.013821205784608749	4.263894402197719e-07
0.075	0.013333666556175119	2.9404343545160406e-07
0.075	0.012845683101410824	2.0771868059149405e-07
0.075	0.012357254759476952	6.390176900762749e-06
0.075	0.011868380868331658	4.58457255322115e-06
0.075	0.011379060764727172	3.2401734390204027e-06
0.075	0.010889293784206795	2.338072208785963e-06
0.075	0.010399079261101892	1.5998056675309576e-06
0.075	0.009908416528528885	6.147498220595886e-05
0.075	0.009417304918386212	4.4975568196219434e-05
0.075	0.008925743761351313	3.2325401717550466e-05
0.075	0.008433732386877574	2.3611732169932265e-05
0.075	0.007941270123191287	1.6309914674073288e-05
0.075	0.007448356297288586	1.0989678979808546e-05
0.075	0.0069549902349323916	0.0006299594780427839
0.075	0.0064611712606493215	0.0004663898583867779
0.075	0.0059668986977266265	0.00033678502836680346
0.075	0.005472171868209078	0.00023616416477641313
0.075	0.0049769900928958895	0.00016655867499553958
0.075	0.00448135269133759	0.00010858075598824559
0.075	0.00398525898183292	6.721942692201843e-05
