sAA	AF_post	power
0.025	0.010899182561307903	0.999999717434406
0.025	0.010863526362267974	0.999999717434406
0.025	0.010827951718119806	0.9999997174344061
0.025	0.010792458408129106	0.9999996501167602
0.025	0.010757046212270527	0.9999996501167601
0.025	0.010721714911225014	0.999999567437376
0.025	0.010686464286377168	0.9999998731418615
0.025	0.010651294119812648	0.9999998731418615
0.025	0.01061620419431555	0.9999998422887425
0.025	0.010581194293365813	0.9999998422887424
0.025	0.01054626420113663	0.9999998041404748
0.025	0.010511413702491888	0.9999998041404746
0.025	0.010476642582983593	0.9999997570475345
0.025	0.010441950628849323	0.9999996274909978
0.025	0.01040733762700967	0.9999996274909978
0.025	0.010372803365065734	0.9999995396820535
0.025	0.010338347631296586	0.9999995396820532
0.025	0.010303970214656767	0.9999994318857998
0.025	0.010269670904773771	0.9999994318857998
0.025	0.010235449491945587	0.9999992996636299
0.025	0.010201305767138196	0.9999989401733729
0.025	0.010167239521983097	0.9999989401733727
0.025	0.010133250548774876	0.9999986987570104
0.025	0.01009933864046874	0.9999986987570101
0.025	0.01006550359067809	0.9999984043695235
0.025	0.01003174519367208	0.9999984043695235
0.025	0.00999806324437321	0.9999984043695235
0.025	0.009964457538354916	0.9999980460818547
0.025	0.009930927871839187	0.9999970815689286
0.025	0.009897474041694151	0.9999964404954509
0.025	0.009864095845431717	0.9999964404954509
0.025	0.00983079308120521	0.9999964404954509
0.025	0.009797565547807011	0.9999956643922645
0.025	0.0097644130446662	0.9999956643922643
0.025	0.009731335371846225	0.9999947261632572
0.025	0.009698332330042591	0.9999947261632572
0.025	0.00966540372058051	0.9999905848956027
0.025	0.00963254934541262	0.9999905848956027
0.025	0.00959976900711667	0.9999905848956027
0.025	0.009567062508893241	0.9999886096654959
0.025	0.00953442965456347	0.9999886096654955
0.025	0.009501870248566753	0.999986238899743
0.025	0.00946938409595852	0.9999862388997429
0.025	0.009436971002407965	0.999986238899743
0.025	0.009404630774195802	0.9999759351187508
0.025	0.009372363218212047	0.9999759351187508
0.025	0.009340168141953768	0.9999710876176031
0.025	0.0093080453535229	0.9999710876176031
0.025	0.009275994661624029	0.9999710876176034
0.025	0.009244015875562183	0.9999653125501408
0.025	0.009212108805240662	0.9999653125501407
0.025	0.009180273261158868	0.9999584425867436
0.025	0.009148509054410104	0.9999864242669311
0.025	0.009116815996679437	0.9999864242669311
0.025	0.009085193900241553	0.999983621498474
0.025	0.0090536425779586	0.9999836214984745
0.025	0.009022161843278056	0.9999802672959518
0.025	0.008990751510230618	0.999980267295952
0.025	0.008959411393428063	0.999980267295952
0.025	0.008928141308061173	0.9999762590634591
0.025	0.008896941069897604	0.9999762590634589
0.025	0.008865810495279819	0.9999589986245446
0.025	0.008834749401122997	0.9999589986245444
0.025	0.00880375760491296	0.9999589986245447
0.025	0.008772834924704124	0.9999509454313467
0.025	0.008741981179117418	0.9999509454313463
0.025	0.008711196187338248	0.9999413935967795
0.025	0.008680479769114471	0.9999413935967792
0.025	0.008649831744754356	0.999941393596779
0.025	0.00861925193512455	0.9999300811859071
0.025	0.008588740161648078	0.9999009095815883
0.025	0.008558296246302338	0.9998822897536614
0.025	0.008527920011617098	0.9998822897536616
0.025	0.008497611280672506	0.9998822897536616
0.025	0.008467369877097118	0.9998603729775252
0.025	0.008437195625065912	0.9998603729775253
0.025	0.008407088349298337	0.9998346156082566
0.025	0.008377047875056349	0.9998346156082568
0.025	0.008347074028142455	0.9998346156082566
0.025	0.008317166634897788	0.9998043919000249
0.025	0.008287325522200165	0.9997275661970109
0.025	0.00825755051746216	0.9997275661970108
0.025	0.008227841448629194	0.9996791976419365
0.025	0.00819819814417762	0.9996791976419361
0.025	0.008168620433112821	0.9996228013906143
0.025	0.008139108144967322	0.9996228013906143
0.025	0.008109661109798893	0.9996228013906143
0.025	0.008080279158188689	0.9995571511944803
0.025	0.008050962121239359	0.9995571511944807
0.025	0.008021709830573192	0.9992897666766366
0.025	0.007992522118330264	0.9992897666766366
0.025	0.007963398817166581	0.9992897666766367
0.025	0.007934339760252252	0.9991711621575693
0.025	0.007905344781269646	0.9991711621575694
0.025	0.007876413714411558	0.9991711621575691
0.025	0.007847546394379411	0.9990342236715073
0.025	0.00781874265638143	0.9990342236715074
0.025	0.00779000233613085	0.9988763811356602
0.025	0.0077613252698440945	0.9988763811356605
