sAA	AF_post	power
0.025	0.014783868211088808	0.9999999999736433
0.025	0.014297937237771634	0.9999999999377694
0.025	0.013811539385176508	0.9999999999807152
0.025	0.013324673961283704	0.9999999999520927
0.025	0.012837340272743438	0.9999999999856327
0.025	0.012349537624872535	0.9999999999621103
0.025	0.011861265321651158	0.9999999998958965
0.025	0.011372522665719476	0.999999999969491
0.025	0.01088330895837436	0.9999999999104261
0.025	0.010393623499566053	0.9999999999749974
0.025	0.009903465587894816	0.9999999999210851
0.025	0.009412834520607594	0.9999999999789986
0.025	0.008921729593594649	0.9999999999282668
0.025	0.008430150101386199	0.9999999999821101
0.025	0.007938095337149032	0.9999999859541245
0.025	0.007445564592683122	0.9999992146328944
0.025	0.0069525571584182376	0.9999567841671192
0.025	0.006459072323410514	0.9978719355032858
0.025	0.005965109375339066	0.9891505653721293
0.025	0.0054706676005025325	0.9442768199690639
0.025	0.004975746283815659	0.7316965953425679
0.025	0.004480344708805835	0.0
0.025	0.003984462157609648	0.0
0.025	0.0034880979109694135	0.0
0.025	0.002991251248229692	0.0
0.025	0.002493921447333808	0.0
0.025	0.001996107784820349	0.0
0.025	0.0014978095358196568	0.0
0.025	0.000999025974050312	0.0
0.025	0.0004997563718156023	0.0
0.075	0.014794954199842843	0.9999999998878216
0.075	0.014308301446350662	0.999999999913431
0.075	0.013821205784608749	0.9999999999329442
0.075	0.013333666556175119	0.9999999999470836
0.075	0.012845683101410824	0.9999999999578644
0.075	0.012357254759476952	0.9999999999656148
0.075	0.011868380868331658	0.9999999999717297
0.075	0.011379060764727172	0.9999999999762066
0.075	0.010889293784206795	0.9999999998855673
0.075	0.010399079261101892	0.9999999998947989
0.075	0.009908416528528885	0.9999999999002896
0.075	0.009417304918386212	0.9999999963458122
0.075	0.008925743761351313	0.9999998588930794
0.075	0.008433732386877574	0.9999945283236191
0.075	0.007941270123191287	0.9998017015372556
0.075	0.007448356297288586	0.9984865823019108
0.075	0.0069549902349323916	0.9886645010514116
0.075	0.0064611712606493215	0.9233897451735505
0.075	0.0059668986977266265	0.8456570346442556
0.075	0.005472171868209078	0.6865348629494796
0.075	0.0049769900928958895	0.3915314699139206
0.075	0.00448135269133759	0.0
0.075	0.00398525898183292	0.0
0.075	0.003488708281425703	0.0
0.075	0.0029916999059017057	0.0
0.075	0.0024942331697855014	0.0
0.075	0.0019963073863373173	0.0
0.075	0.0014979218675498743	0.0
0.075	0.000999075924145217	0.0
0.075	0.0004997688655715368	3.026167285672562e-10
0.125	0.014806039939113013	0.9999999998760524
0.125	0.01431866543698211	0.9999999999485353
0.125	0.013830871994547064	0.9999999999266401
0.125	0.013342658987150353	0.9999999998894292
0.125	0.012854025789063554	0.999999999951509
0.125	0.012364971773484652	0.9999999999201449
0.125	0.011875496312535377	0.9999999999645017
0.125	0.011385598777258504	0.9999999999347158
0.125	0.010895278537615167	0.9999999978088723
0.125	0.010404534962482158	0.9999999242886397
0.125	0.009913367419649216	0.9999992788753831
0.125	0.009421775275816306	0.9999926592470273
0.125	0.008929757896590916	0.9999225098574599
0.125	0.0084373146464853	0.9991818889323544
0.125	0.007944444888913773	0.9919441579995141
0.125	0.007451147986189938	0.9727634031233623
0.125	0.00695742329952396	0.9099021189473274
0.125	0.006463270189019791	0.7271384735865822
0.125	0.005968688013672422	0.6095108440015069
0.125	0.005473676131365093	0.43626406875186463
0.125	0.004978233898866528	0.20936325401482891
0.125	0.004482360671828145	0.0
0.125	0.003986055804781256	0.0
0.125	0.0034893186511342814	0.0
0.125	0.002992148563169924	0.0
0.125	0.0024945448920423666	0.0
0.125	0.001996506987774445	0.0
0.125	0.0014980341992548174	0.0
0.125	0.000999125874235127	0.0
0.125	0.0004997813593271589	2.3204733397802673e-09
0.175	0.014817125428907741	0.9999999998747805
0.175	0.01432902920967285	0.9999999999035014
0.175	0.013840538014997024	0.9999999999222514
0.175	0.013351651254213887	0.9999999999349393
